OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
1,2016,NonResidential,Hotel,405 Olive way,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,Hotel,Hotel,60.0,84.30000305,249.98
2,2016,NonResidential,Hotel,724 Pine street,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,"Hotel, Parking, Restaurant",Hotel,61.0,97.90000153,295.86
3,2016,NonResidential,Hotel,1900 5th Avenue,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,Hotel,Hotel,43.0,97.69999695,2089.28
5,2016,NonResidential,Hotel,620 STEWART ST,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,Hotel,Hotel,56.0,113.3000031,286.43
8,2016,NonResidential,Hotel,401 LENORA ST,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,"Hotel, Parking, Swimming Pool",Hotel,75.0,118.6999969,505.01
9,2016,Nonresidential COS,Other,810 Virginia St,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,Police Station,Police Station,75.0,141.6000061,301.81
10,2016,NonResidential,Hotel,1619 9th Avenue,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,Hotel,Hotel,27.0,74.5,176.14
11,2016,NonResidential,Other,911 Pine St,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,75.0,68.80000305,221.51
12,2016,NonResidential,Hotel,612 2nd Ave,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,Hotel,Hotel,43.0,86.59999847,392.16
15,2016,NonResidential,Hotel,1101 4th Avenue,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,Hotel,Hotel,30.0,124.3000031,691.26
16,2016,NonResidential,Hotel,1112 Fourth Avenue,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,Hotel,Hotel,36.0,80.40000153,740.97
17,2016,NonResidential,Hotel,400 Spring Street,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,Hotel,Hotel,48.0,97.80000305,328.23
18,2016,NonResidential,Hotel,1113 6th Ave,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,"Hotel, Parking",Hotel,58.0,76.19999695,648.62
19,2016,NonResidential,Hotel,1100 5th Avenue,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,"Hotel, Parking",Hotel,35.0,165.8999939,511.39
21,2016,Nonresidential COS,Other,1000 Fourth Avenue,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,"Data Center, Library, Parking",Library,75.0,51.09999847,181.38
22,2016,NonResidential,Other,909 4th Avenue,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,75.0,78.40000153,433.86
