,identifiant_unique_client,nombre_commandes,montant_total_acheté,panier_moyen,note_moyenne,taux_avis,types_paiement_utilisés,paiement_en_plusieurs_fois,moyenne_nbre_paiements,variete_categories,dernier_achat,premier_achat,etat_client,code_postal_client,cp_etats_clients,recence,anciennete,frequence_commande_mensuelle,jours_entre_commandes_moyen
0,0000366f3b9a7992bf8c76cfdf3221e2,1,141.9,141.9,5.0,1.0,1,1.0,8.0,1,2018-05-10,2018-05-10,São Paulo,7787,01000,116,1,30.0,1.0
1,0000b849f77a49e4a4ce2b2a4ca5be3f,1,27.19,27.19,4.0,1.0,1,0.0,1.0,1,2018-05-07,2018-05-07,São Paulo,6053,01000,119,1,30.0,1.0
2,0000f46a3911fa3c0805444483337064,1,86.22,86.22,3.0,1.0,1,1.0,8.0,1,2017-03-10,2017-03-10,Santa Catarina,88115,88000,542,1,30.0,1.0
3,0000f6ccb0745a6a4b88665a16c9f078,1,43.62,43.62,4.0,1.0,1,1.0,4.0,1,2017-10-12,2017-10-12,Pará,66812,66000,326,1,30.0,1.0
4,0004aac84e0df4da2b147fca70cf8255,1,196.89,196.89,5.0,1.0,1,1.0,6.0,1,2017-11-14,2017-11-14,São Paulo,18040,01000,293,1,30.0,1.0
5,0004bd2a26a76fe21f786e4fbd80607f,1,166.98,166.98,4.0,1.0,1,1.0,8.0,1,2018-04-05,2018-04-05,São Paulo,5036,01000,151,1,30.0,1.0
6,00050ab1314c0e55a6ca13cf7181fecf,1,35.38,35.38,4.0,1.0,1,0.0,1.0,1,2018-04-20,2018-04-20,São Paulo,13084,01000,136,1,30.0,1.0
7,00053a61a98854899e70ed204dd4bafe,1,838.36,419.18,1.0,1.0,1,1.0,3.0,1,2018-02-28,2018-02-28,Paraná,80410,80000,187,1,30.0,1.0
8,0005e1862207bf6ccc02e4228effd9a0,1,150.12,150.12,4.0,1.0,1,1.0,3.0,1,2017-03-04,2017-03-04,Rio de Janeiro,25966,20000,548,1,30.0,1.0
9,0005ef4cd20d2893f0d9fbd94d3c0d97,1,129.76,129.76,1.0,1.0,1,1.0,4.0,1,2018-03-12,2018-03-12,Maranhão,65060,65000,175,1,30.0,1.0
10,0006fdc98a402fceb4eb0ee528f6a8d4,1,29.0,29.0,3.0,1.0,1,1.0,2.0,1,2017-07-18,2017-07-18,Espírito Santo,29400,29000,412,1,30.0,1.0
