état_client,categorie_produit,montant_paiement
Acre,Auto & Moto,617.9
Acre,Autres,215.61
Acre,Beauté & Santé,2448.18
Acre,Bricolage & Jardin,707.1999999999999
Acre,Bébés,871.97
Acre,Cadeaux & Montres,1016.02
Acre,Gadgets,130.22
Acre,Informatique & Électronique,3788.9
Acre,Jouets,318.04999999999995
Acre,Maison,8139.31
Acre,Mode,969.77
Acre,Multimédias,1158.71
Acre,Papeterie,646.76
Acre,Sport & Loisirs,2071.54
Acre,Téléphonie,1271.4299999999998
Alagoas,Alimentation & Boissons,333.76
Alagoas,Animaux,2426.7200000000003
Alagoas,Auto & Moto,4561.57
Alagoas,Autres,1222.18
Alagoas,Beauté & Santé,16301.38
Alagoas,Bricolage & Jardin,4593.52
Alagoas,Bébés,1071.93
Alagoas,Cadeaux & Montres,12596.960000000001
Alagoas,Gadgets,3115.86
Alagoas,Informatique & Électronique,17848.75
Alagoas,Jouets,1419.18
Alagoas,Maison,22166.72
Alagoas,Mode,2355.08
Alagoas,Multimédias,3771.76
Alagoas,Papeterie,858.15
Alagoas,Professionnel,1791.31
Alagoas,Sport & Loisirs,4978.11
Alagoas,Téléphonie,6516.93
Amapá,Animaux,175.6
Amapá,Auto & Moto,1406.68
Amapá,Beauté & Santé,1719.02
Amapá,Bricolage & Jardin,300.2
Amapá,Cadeaux & Montres,2016.42
Amapá,Gadgets,363.19
Amapá,Informatique & Électronique,6702.11
Amapá,Jouets,389.72
Amapá,Maison,3418.53
Amapá,Multimédias,486.21000000000004
Amapá,Papeterie,335.04
Amapá,Professionnel,657.61
Amapá,Sport & Loisirs,1420.42
Amapá,Téléphonie,2074.87
Amazonas,Alimentation & Boissons,271.07
Amazonas,Animaux,541.05
Amazonas,Auto & Moto,1853.25
Amazonas,Autres,1479.3799999999999
Amazonas,Beauté & Santé,4582.29
Amazonas,Bricolage & Jardin,3451.96
Amazonas,Bébés,796.97
Amazonas,Cadeaux & Montres,2056.58
Amazonas,Gadgets,759.74
Amazonas,Informatique & Électronique,7542.76
Amazonas,Jouets,1135.1
Amazonas,Maison,3271.42
Amazonas,Mode,1477.3200000000002
Amazonas,Multimédias,1182.76
Amazonas,Papeterie,869.01
Amazonas,Sport & Loisirs,1717.1399999999999
Amazonas,Téléphonie,1293.78
Bahia,Alimentation & Boissons,2839.79
Bahia,Animaux,8385.03
Bahia,Auto & Moto,35920.09
Bahia,Autres,12875.130000000001
Bahia,Beauté & Santé,77181.36
Bahia,Bricolage & Jardin,61503.36
Bahia,Bébés,18568.3
Bahia,Cadeaux & Montres,55242.520000000004
Bahia,Gadgets,26744.77
Bahia,Informatique & Électronique,108425.21
Bahia,Jouets,17126.19
Bahia,Maison,196900.28
Bahia,Mode,16950.88
Bahia,Multimédias,20948.96
Bahia,Papeterie,9118.05
Bahia,Professionnel,5318.79
Bahia,Sport & Loisirs,58870.24
Bahia,Téléphonie,38897.09
Ceará,Alimentation & Boissons,1206.78
Ceará,Animaux,1468.82
Ceará,Auto & Moto,19133.62
Ceará,Autres,7340.6
Ceará,Beauté & Santé,52168.15
Ceará,Bricolage & Jardin,24865.61
Ceará,Bébés,5900.67
Ceará,Cadeaux & Montres,34587.81
Ceará,Gadgets,15181.67
Ceará,Informatique & Électronique,33447.9
Ceará,Jouets,11168.75
Ceará,Maison,70792.58
Ceará,Mode,9427.31
Ceará,Multimédias,9920.01
Ceará,Papeterie,5386.87
Ceará,Professionnel,2748.8599999999997
Ceará,Sport & Loisirs,14733.29
Ceará,Téléphonie,10980.46
Distrito Federal,Alimentation & Boissons,1218.74
Distrito Federal,Animaux,7085.32
Distrito Federal,Auto & Moto,21629.59
Distrito Federal,Autres,3879.29
Distrito Federal,Beauté & Santé,50419.93
Distrito Federal,Bricolage & Jardin,19901.58
Distrito Federal,Bébés,10838.34
Distrito Federal,Cadeaux & Montres,35853.21
Distrito Federal,Fêtes & Événements,269.73
Distrito Federal,Gadgets,14662.93
Distrito Federal,Informatique & Électronique,62276.35
Distrito Federal,Jouets,15100.35
Distrito Federal,Maison,105694.49
Distrito Federal,Mode,10029.06
Distrito Federal,Multimédias,8570.17
Distrito Federal,Papeterie,6132.38
Distrito Federal,Professionnel,1656.71
Distrito Federal,Services,115.45
Distrito Federal,Sport & Loisirs,37235.52
Distrito Federal,Téléphonie,10355.59
Espírito Santo,Alimentation & Boissons,2492.7
Espírito Santo,Animaux,3872.52
Espírito Santo,Auto & Moto,13975.09
Espírito Santo,Autres,2940.08
Espírito Santo,Beauté & Santé,36114.69
Espírito Santo,Bricolage & Jardin,29245.07
Espírito Santo,Bébés,10304.92
Espírito Santo,Cadeaux & Montres,31864.36
Espírito Santo,Fêtes & Événements,98.99
Espírito Santo,Gadgets,13129.93
Espírito Santo,Informatique & Électronique,29502.81
Espírito Santo,Jouets,12745.39
Espírito Santo,Maison,95348.85
Espírito Santo,Mode,9899.11
Espírito Santo,Multimédias,14901.84
Espírito Santo,Papeterie,7015.9
Espírito Santo,Professionnel,710.78
Espírito Santo,Sport & Loisirs,26327.42
Espírito Santo,Téléphonie,45445.15
Goiás,Alimentation & Boissons,1711.58
Goiás,Animaux,6179.46
Goiás,Auto & Moto,12489.25
Goiás,Autres,12044.35
Goiás,Beauté & Santé,49491.73
Goiás,Bricolage & Jardin,59543.76
Goiás,Bébés,11245.97
Goiás,Cadeaux & Montres,35891.19
Goiás,Fêtes & Événements,175.84
Goiás,Gadgets,36597.04
Goiás,Informatique & Électronique,33284.53
Goiás,Jouets,10856.44
Goiás,Maison,124254.76
Goiás,Mode,8532.79
Goiás,Multimédias,9202.73
Goiás,Papeterie,7598.38
Goiás,Professionnel,4977.7300000000005
Goiás,Sport & Loisirs,25446.84
Goiás,Téléphonie,9948.91
Maranhão,Alimentation & Boissons,214.54000000000002
Maranhão,Animaux,1354.8
Maranhão,Auto & Moto,7334.35
Maranhão,Autres,6113.860000000001
Maranhão,Beauté & Santé,23026.28
Maranhão,Bricolage & Jardin,6189.26
Maranhão,Bébés,6378.48
Maranhão,Cadeaux & Montres,12002.24
Maranhão,Gadgets,9026.97
Maranhão,Informatique & Électronique,41540.35
Maranhão,Jouets,4332.3
Maranhão,Maison,39666.14
Maranhão,Mode,5310.1
Maranhão,Multimédias,7393.21
Maranhão,Papeterie,3060.17
Maranhão,Professionnel,772.42
Maranhão,Sport & Loisirs,14257.86
Maranhão,Téléphonie,7851.72
Mato Grosso,Alimentation & Boissons,1373.2
Mato Grosso,Animaux,3770.29
Mato Grosso,Auto & Moto,15613.15
Mato Grosso,Autres,1897.0
Mato Grosso,Beauté & Santé,25793.64
Mato Grosso,Bricolage & Jardin,45278.74
Mato Grosso,Bébés,8129.04
Mato Grosso,Cadeaux & Montres,17733.87
Mato Grosso,Gadgets,8967.38
Mato Grosso,Informatique & Électronique,20471.96
Mato Grosso,Jouets,8239.74
Mato Grosso,Maison,56351.25
Mato Grosso,Mode,3237.03
Mato Grosso,Multimédias,9073.800000000001
Mato Grosso,Papeterie,4280.06
Mato Grosso,Professionnel,1024.51
Mato Grosso,Sport & Loisirs,12571.3
Mato Grosso,Téléphonie,6136.09
Mato Grosso do Sul,Alimentation & Boissons,758.6
Mato Grosso do Sul,Animaux,3855.98
Mato Grosso do Sul,Auto & Moto,8560.64
Mato Grosso do Sul,Autres,1034.31
Mato Grosso do Sul,Beauté & Santé,16569.260000000002
Mato Grosso do Sul,Bricolage & Jardin,19192.61
Mato Grosso do Sul,Bébés,6613.02
Mato Grosso do Sul,Cadeaux & Montres,9894.96
Mato Grosso do Sul,Gadgets,7091.11
Mato Grosso do Sul,Informatique & Électronique,17085.1
Mato Grosso do Sul,Jouets,5302.88
Mato Grosso do Sul,Maison,37498.24
Mato Grosso do Sul,Mode,3974.14
Mato Grosso do Sul,Multimédias,5440.54
Mato Grosso do Sul,Papeterie,2756.66
Mato Grosso do Sul,Professionnel,707.57
Mato Grosso do Sul,Sport & Loisirs,13254.73
Mato Grosso do Sul,Téléphonie,2248.8
Minas Gerais,Alimentation & Boissons,10730.67
Minas Gerais,Animaux,44883.63
Minas Gerais,Auto & Moto,101368.96
Minas Gerais,Autres,26730.32
Minas Gerais,Beauté & Santé,254595.5
Minas Gerais,Bricolage & Jardin,171712.95
Minas Gerais,Bébés,63329.68
Minas Gerais,Cadeaux & Montres,136162.09
Minas Gerais,Fêtes & Événements,1297.26
Minas Gerais,Gadgets,87699.23
Minas Gerais,Informatique & Électronique,239471.07
Minas Gerais,Jouets,75501.83
Minas Gerais,Maison,638617.72
Minas Gerais,Mode,66718.59
Minas Gerais,Multimédias,69947.61
Minas Gerais,Papeterie,36738.54
Minas Gerais,Professionnel,46090.38
Minas Gerais,Sport & Loisirs,154459.51
Minas Gerais,Téléphonie,47010.65
Paraná,Alimentation & Boissons,8479.85
Paraná,Animaux,11564.62
Paraná,Auto & Moto,47044.85
Paraná,Autres,12174.95
Paraná,Beauté & Santé,95944.64
